Fuel_Category,Zip Code,Count
Electric,21136,94
Electric,21140,13
Electric,21144,86
Electric,21146,109
Electric,21152,19
Electric,21153,8
Electric,21154,4
Electric,21155,3
Electric,21156,2
Electric,21157,38
Electric,21158,26
Electric,21160,1
Electric,21161,11
Electric,21162,8
Electric,21163,34
Electric,21201,31
Electric,21202,26
Electric,21204,72
Electric,21205,2
Electric,21206,13
Electric,21207,11
Electric,21208,98
Electric,21209,66
Electric,21210,79
Electric,21211,29
Electric,21212,91
Electric,21213,10
Electric,21214,23
Electric,21215,14
Electric,21216,3
Electric,21217,15
Electric,21218,54
Electric,21219,3
Electric,21220,16
Electric,21221,21
Electric,21222,16
Electric,21223,3
Electric,21224,64
Electric,21225,13
Electric,21226,5
Electric,21227,15
Electric,21228,72
Electric,21229,24
Electric,21230,185
Electric,21231,38
Electric,21234,32
Electric,21236,15
Electric,21237,23
Electric,21239,7
Electric,21244,19
Electric,21250,9
Electric,21286,56
Electric,21401,147
Electric,21402,3
Electric,21403,110
Electric,21405,1
Electric,21409,57
Electric,21502,19
Electric,21532,7
Electric,21541,2
Electric,21545,1
Electric,21550,2
Electric,21557,1
Electric,21561,1
Electric,21601,22
Electric,21607,1
Electric,21610,1
Electric,21613,15
Electric,21617,13
Electric,21619,7
Electric,21620,12
Electric,21623,5
Electric,21629,3
Electric,21631,2
Electric,21632,1
Electric,21635,1
Electric,21638,7
Electric,21639,1
Electric,21647,1
Electric,21651,1
Electric,21654,10
Electric,21655,2
Electric,21658,9
Electric,21660,2
Electric,21661,2
Electric,21662,4
Electric,21663,15
Electric,21664,1
Electric,21666,20
Electric,21671,2
Electric,21673,3
Electric,21677,1
Electric,21679,1
Electric,21701,83
Electric,21702,45
Electric,21703,55
Electric,21704,95
Electric,21710,17
Electric,21713,8
Electric,21714,1
Electric,21716,11
Electric,21718,1
Electric,21723,7
Electric,21727,6
Electric,21734,2
Electric,21737,31
Electric,21738,24
Electric,21740,50
Electric,21742,40
Electric,21754,39
Electric,21755,9
Electric,21756,3
Electric,21757,1
Electric,21758,2
Electric,21762,1
Electric,21769,41
Electric,21770,20
Electric,21771,55
Electric,21773,15
Electric,21774,60
Electric,21776,10
Electric,21777,3
Electric,21778,4
Electric,21779,1
Electric,21780,3
Electric,21783,5
Electric,21784,86
Electric,21787,3
Electric,21788,4
Electric,21791,4
Electric,21793,12
Electric,21794,14
Electric,21795,2
Electric,21797,31
Electric,21798,2
Electric,21801,17
Electric,21804,10
Electric,21811,14
Electric,21813,2
Electric,21817,2
Electric,21826,1
Electric,21830,3
Electric,21837,1
Electric,21842,16
Electric,21851,2
Electric,21862,1
Electric,21863,2
Electric,21874,1
Electric,21875,8
Electric,21901,12
Electric,21903,3
Electric,21904,7
Electric,21911,5
Electric,21912,1
Electric,21913,2
Electric,21914,1
Electric,21915,5
Electric,21917,2
Electric,21919,2
Electric,21921,26
Plug-In Hybrid,UNKNOWN,16
Plug-In Hybrid,20601,22
Plug-In Hybrid,20602,26
Plug-In Hybrid,20603,35
Plug-In Hybrid,20606,1
Plug-In Hybrid,20607,25
Plug-In Hybrid,20609,2
Plug-In Hybrid,20611,1
Plug-In Hybrid,20613,26
Plug-In Hybrid,20616,6
Plug-In Hybrid,20617,1
Plug-In Hybrid,20618,1
Plug-In Hybrid,20619,16
Plug-In Hybrid,20620,1
Plug-In Hybrid,20621,1
Plug-In Hybrid,20622,6
Plug-In Hybrid,20627,1
Plug-In Hybrid,20628,2
Plug-In Hybrid,20634,16
Plug-In Hybrid,20636,14
Plug-In Hybrid,20637,10
Plug-In Hybrid,20639,32
Plug-In Hybrid,20640,4
Plug-In Hybrid,20645,3
Plug-In Hybrid,20646,17
Plug-In Hybrid,20650,36
Plug-In Hybrid,20653,26
Plug-In Hybrid,20657,22
Plug-In Hybrid,20658,1
Plug-In Hybrid,20659,24
Plug-In Hybrid,20662,3
Plug-In Hybrid,20664,1
Plug-In Hybrid,20667,1
Plug-In Hybrid,20674,5
Plug-In Hybrid,20675,2
Plug-In Hybrid,20676,3
Plug-In Hybrid,20677,4
Plug-In Hybrid,20678,10
Plug-In Hybrid,20685,11
Plug-In Hybrid,20686,3
Plug-In Hybrid,20688,8
Plug-In Hybrid,20689,3
Plug-In Hybrid,20692,2
Plug-In Hybrid,20693,1
Plug-In Hybrid,20695,18
Plug-In Hybrid,20701,1
Plug-In Hybrid,20705,30
Plug-In Hybrid,20706,19
Plug-In Hybrid,20707,47
Plug-In Hybrid,20708,29
Plug-In Hybrid,20710,1
Plug-In Hybrid,20711,14
Plug-In Hybrid,20712,7
Plug-In Hybrid,20714,6
Plug-In Hybrid,20715,45
Plug-In Hybrid,20716,17
Plug-In Hybrid,20720,35
Plug-In Hybrid,20721,37
Plug-In Hybrid,20722,8
Plug-In Hybrid,20723,87
Plug-In Hybrid,20724,23
Plug-In Hybrid,20732,19
Plug-In Hybrid,20733,10
Plug-In Hybrid,20735,31
Plug-In Hybrid,20736,19
Plug-In Hybrid,20737,7
Plug-In Hybrid,20740,49
Plug-In Hybrid,20742,1
Plug-In Hybrid,20743,31
Plug-In Hybrid,20744,70
Plug-In Hybrid,20745,17
Plug-In Hybrid,20746,9
Plug-In Hybrid,20747,10
Plug-In Hybrid,20748,13
Plug-In Hybrid,20751,4
Plug-In Hybrid,20754,12
Plug-In Hybrid,20755,18
Plug-In Hybrid,20759,46
Plug-In Hybrid,20762,2
Plug-In Hybrid,20763,3
Plug-In Hybrid,20764,3
Plug-In Hybrid,20765,1
Plug-In Hybrid,20769,9
Plug-In Hybrid,20770,39
Plug-In Hybrid,20772,69
Plug-In Hybrid,20774,50
Plug-In Hybrid,20776,9
Plug-In Hybrid,20777,25
Plug-In Hybrid,20778,6
Plug-In Hybrid,20779,2
Plug-In Hybrid,20781,20
Plug-In Hybrid,20782,28
Plug-In Hybrid,20783,19
Plug-In Hybrid,20784,10
